#{"t_start": 1741110406.223435, "env_id": "PCSUnitEnv-v0"}
r,l,t
8.024664,48,1.489244
-25.002248,48,1.618359
-66.259124,48,1.795059
-42.963428,48,1.935183
29.437726,48,2.066823
-34.84037,48,2.203867
-34.946865,48,2.341643
109.721661,48,2.47416
22.35654,48,2.602969
55.956608,48,2.729801
31.606035,48,2.854665
-14.068452,48,2.978652
80.239199,48,3.106611
-10.672355,48,3.229222
58.364279,48,3.364512
130.729947,48,3.506472
11.599461,48,3.699192
61.559166,48,3.871998
39.918003,48,4.019468
-48.352155,48,4.161495
88.134536,48,4.289531
12.452221,48,4.410512
9.750697,48,4.536482
22.964015,48,4.659033
-8.159692,48,4.78391
-7.398126,48,4.905344
-79.797102,48,5.027809
27.161693,48,5.157064
66.897904,48,5.328901
9.245382,48,5.49459
116.003511,48,5.636577
-40.267745,48,5.767786
-76.51582,48,5.899569
-22.58611,48,6.034547
26.063528,48,6.201829
6.493686,48,6.344829
-25.187916,48,6.575381
38.393205,48,6.708445
-47.885067,48,6.832478
-25.81764,48,6.950056
-84.740461,48,7.07076
148.433371,48,7.196927
